celebrityid,dbname
1861,"Miley Cyrus"
3081,"Justin Timberlake"
1534,"Demi Lovato"
4685,"Taylor Swift"
3436,Rihanna
1419,Beyonce
1731,"Justin Bieber"
4703,"Jennifer Lopez"
1387,"Ariana Grande"
2004,Shakira
4723,"Lady Gaga"
1737,"Katy Perry"
1574,Eminem
2470,Adele
9472,"Bruno Mars"
9740,"Nicki Minaj"
3825,"Chris Brown"
2785,Drake
3536,"Snoop Dogg"
3649,"Wiz Khalifa"
1448,"Britney Spears"
9642,"Lil Wayne"
1934,Pitbull
9064,"Kanye West"
10656,Maluma
10421,"David Guetta"
2501,"Alicia Keys"
9066,"Niall Horan"
1965,"Rita Ora"
12804,"Avril Lavigne"
4754,"Zayn Malik"
4741,"Harry Styles"
1576,"Enrique Iglesias"
3623,Usher
2932,"J Balvin"
4744,"Liam Payne"
11061,"Shawn Mendes"
1557,"Ed Sheeran"
4202,"Mariah Carey"
3555,"Steve Aoki"
3865,"Daddy Yankee"
12192,Akon
4686,"Louis Tomlinson"
3897,"Dj Khaled"
1897,"Nick Jonas"
1898,"Nicky Jam"
3385,"Prince Royce"
1815,Ludacris
1711,"Joe Jonas"
3029,"John Legend"
9034,Tyga
11808,"Cardi B"
1962,"Ricky Martin"
10735,"Camila Cabello"
11583,Anitta
2680,Ciara
11400,"Luis Fonsi"
9216,Halsey
9279,"Big Sean"
9632,"Dua Lipa"
12502,"A. R. Rahman"
11285,"Trey Songz"
9042,"Jay Z"
3382,"Pharrell Williams"
11494,"Shreya Ghoshal"
9247,"Sam Smith"
2814,"Ellie Goulding"
9113,"Kelly Rowland"
11661,"Luan Santana"
2601,"Blake Shelton"
3949,"French Montana"
2050,T.I.
10655,"Marc Anthony"
333,"Madison Beer"
2026,"Sonu Nigam"
1889,Ne-Yo
2925,"Iggy Azalea"
11425,"Gucci Mane"
1747,"Kelly Clarkson"
1702,"Jessie J"
1773,"Lana Del Rey"
1899,"Nicole Scherzinger"
9182,Fergie
3422,"Ricardo Arjona"
